,distance,time,temp,fan,b_temp,extruding,x,y,z
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,2.0,200.0,100.0,0.0,0.0,0.0,0.0,0.0
3,0.0,3.0,200.0,100.0,60.0,0.0,0.0,0.0,0.0
4,2.0,9.0,200.0,100.0,60.0,0.0,0.0,2.0,0.0
5,2.0,9.0,200.0,100.0,60.0,1.0,6.123233995736766e-17,2.0,0.0
6,2.0641141357875465,9.19234240736264,200.0,100.0,60.0,1.0,-0.06407021998071283,1.9979453927503363,0.0
7,2.1282282715750935,9.384684814725281,200.0,100.0,60.0,1.0,-0.12787716168450589,1.991790013823246,0.0
8,2.1923424073626405,9.57702722208792,200.0,100.0,60.0,1.0,-0.19115862870137215,1.9815591569910653,0.0
9,2.256456543150187,9.769369629450562,200.0,100.0,60.0,1.0,-0.2536545839095072,1.9672948630390295,0.0
10,2.320570678937734,9.961712036813202,200.0,100.0,60.0,1.0,-0.31510821802362066,1.9490557470106686,0.0
11,2.384684814725281,10.154054444175843,200.0,100.0,60.0,1.0,-0.3752670048793741,1.9269167573460217,0.0
12,2.4487989505128276,10.346396851538483,200.0,100.0,60.0,1.0,-0.43388373911755806,1.900968867902419,0.0
13,2.512913086300374,10.538739258901122,200.0,100.0,60.0,1.0,-0.4907175520039376,1.8713187041233894,0.0
14,2.577027222087921,10.731081666263764,200.0,100.0,60.0,1.0,-0.5455349012105485,1.8380881048918407,0.0
15,2.641141357875468,10.923424073626403,200.0,100.0,60.0,1.0,-0.598110530491216,1.8014136218679566,0.0
16,2.7052554936630147,11.115766480989045,200.0,100.0,60.0,1.0,-0.6482283953077882,1.7614459583691344,0.0
17,2.7693696294505616,11.308108888351684,200.0,100.0,60.0,1.0,-0.6956825506034864,1.7183493500977276,0.0
18,2.833483765238108,11.500451295714324,200.0,100.0,60.0,1.0,-0.7402779970753154,1.672300890261317,0.0
19,2.897597901025655,11.692793703076966,200.0,100.0,60.0,1.0,-0.7818314824680297,1.6234898018587336,0.0
20,2.9617120368132017,11.885136110439605,200.0,100.0,60.0,1.0,-0.8201722545969556,1.5721166601221699,0.0
21,3.0258261726007487,12.077478517802247,200.0,100.0,60.0,1.0,-0.8551427630053461,1.5183925683105253,0.0
22,3.0899403083882957,12.269820925164886,200.0,100.0,60.0,1.0,-0.8865993063730001,1.4625382902408353,0.0
23,3.1540544441758422,12.462163332527528,200.0,100.0,60.0,1.0,-0.9144126230158124,1.4047833431223942,0.0
24,3.218168579963389,12.654505739890165,200.0,100.0,60.0,1.0,-0.9384684220497602,1.345365054421308,0.0
25,3.2822827157509358,12.846848147252807,200.0,100.0,60.0,1.0,-0.9586678530366606,1.2845275866310328,0.0
26,3.3463968515384828,13.039190554615448,200.0,100.0,60.0,1.0,-0.9749279121818236,1.2225209339563146,0.0
27,3.4105109873260293,13.231532961978088,200.0,100.0,60.0,1.0,-0.9871817834144501,1.1595998950333797,0.0
28,3.4746251231135763,13.42387536934073,200.0,100.0,60.0,1.0,-0.9953791129491982,1.096023025907682,0.0
29,3.5387392589011233,13.616217776703369,200.0,100.0,60.0,1.0,-0.9994862162006879,1.0320515775716552,0.0
30,3.60285339468867,13.80856018406601,200.0,100.0,60.0,1.0,-0.9994862162006879,0.9679484224283451,0.0
31,3.6669675304762164,14.000902591428648,200.0,100.0,60.0,1.0,-0.9953791129491982,0.9039769740923187,0.0
32,3.7310816662637634,14.19324499879129,200.0,100.0,60.0,1.0,-0.9871817834144502,0.8404001049666211,0.0
33,3.7951958020513104,14.385587406153931,200.0,100.0,60.0,1.0,-0.9749279121818236,0.7774790660436857,0.0
34,3.859309937838857,14.57792981351657,200.0,100.0,60.0,1.0,-0.9586678530366607,0.7154724133689679,0.0
35,3.923424073626404,14.770272220879212,200.0,100.0,60.0,1.0,-0.9384684220497604,0.6546349455786926,0.0
36,3.987538209413951,14.962614628241852,200.0,100.0,60.0,1.0,-0.9144126230158125,0.5952166568776063,0.0
37,4.051652345201497,15.154957035604493,200.0,100.0,60.0,1.0,-0.8865993063730002,0.537461709759165,0.0
38,4.115766480989045,15.347299442967135,200.0,100.0,60.0,1.0,-0.8551427630053462,0.48160743168947506,0.0
39,4.179880616776591,15.539641850329772,200.0,100.0,60.0,1.0,-0.8201722545969561,0.42788333987783067,0.0
40,4.243994752564138,15.731984257692414,200.0,100.0,60.0,1.0,-0.7818314824680299,0.3765101981412666,0.0
41,4.3081088883516845,15.924326665055053,200.0,100.0,60.0,1.0,-0.7402779970753158,0.32769910973868355,0.0
42,4.372223024139231,16.116669072417693,200.0,100.0,60.0,1.0,-0.6956825506034865,0.2816506499022726,0.0
43,4.436337159926778,16.30901147978033,200.0,100.0,60.0,1.0,-0.6482283953077891,0.23855404163086613,0.0
44,4.500451295714325,16.501353887142976,200.0,100.0,60.0,1.0,-0.5981105304912162,0.1985863781320435,0.0
45,4.5645654315018716,16.693696294505614,200.0,100.0,60.0,1.0,-0.5455349012105492,0.16191189510815962,0.0
46,4.628679567289419,16.88603870186826,200.0,100.0,60.0,1.0,-0.4907175520039378,0.1286812958766106,0.0
47,4.6927937030769655,17.078381109230897,200.0,100.0,60.0,1.0,-0.4338837391175583,0.09903113209758097,0.0
48,4.756907838864512,17.270723516593534,200.0,100.0,60.0,1.0,-0.37526700487937453,0.07308324265397836,0.0
49,4.821021974652059,17.463065923956176,200.0,100.0,60.0,1.0,-0.3151082180236213,0.050944252989331584,0.0
